GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O00329	PIK3CD	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:22079609		9606	CACAO		P
UniProtKB	O00329	PIK3CD	involved_in	GO:0030335	positive regulation of cell migration	ECO:0000315	IMP	PMID:22079609		9606	CACAO		P
UniProtKB	O00329	PIK3CD	involved_in	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1203729|MGI:MGI:2685045|PANTHER:PTN000005674|UniProtKB:P32871|WB:WBGene00009552	9606	GO_Central		P
UniProtKB	O00329	PIK3CD	involved_in	GO:0046854	phosphatidylinositol phosphate biosynthetic process	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015277|FB:FBgn0015278|FB:FBgn0015279|FB:FBgn0267350|MGI:MGI:2448506|PANTHER:PTN000005673|RGD:1306468|RGD:620916|RGD:620917|SGD:S000004230|SGD:S000004296|SGD:S000005211|UniProtKB:A0A1D8PDV7|UniProtKB:P32871	9606	GO_Central		P
UniProtKB	O00329	PIK3CD	involved_in	GO:0048015	phosphatidylinositol-mediated signaling	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015279|MGI:MGI:1206581|MGI:MGI:1353576|MGI:MGI:1922019|PANTHER:PTN000005673|RGD:620899|UniProtKB:A0A3Q1LQK4|UniProtKB:O00329|UniProtKB:P42336|UniProtKB:P42338|UniProtKB:P48736|dictyBase:DDB_G0278727|dictyBase:DDB_G0283081	9606	GO_Central		P
UniProtKB	O00329	PIK3CD	is_active_in	GO:0016020	membrane	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015277|FB:FBgn0015278|FB:FBgn0015279|MGI:MGI:1206581|MGI:MGI:2445019|PANTHER:PTN000005673|PomBase:SPAC458.05|PomBase:SPBC577.06c|RGD:1306468|RGD:620231|RGD:620916|RGD:620917|RGD:621213|RGD:621214|SGD:S000004230|SGD:S000004296|TAIR:locus:2010202|TAIR:locus:2164401|UniProtKB:A0A1D8PTE0|UniProtKB:O00443|UniProtKB:O00750|UniProtKB:P32871|UniProtKB:P42336|UniProtKB:P42356|UniProtKB:P48736|UniProtKB:Q9UBF8|WB:WBGene00000090|WB:WBGene00006932|dictyBase:DDB_G0278727|dictyBase:DDB_G0283081	9606	GO_Central		C
UniProtKB	O00329	PIK3CD	enables	GO:0052742	phosphatidylinositol kinase activity	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015277|FB:FBgn0015278|FB:FBgn0015279|MGI:MGI:1203729|MGI:MGI:1206581|MGI:MGI:1353576|MGI:MGI:1922019|MGI:MGI:2448506|PANTHER:PTN000005673|PomBase:SPAC458.05|RGD:1306468|RGD:620899|RGD:620916|RGD:620917|RGD:621213|RGD:621214|SGD:S000004230|SGD:S000004296|SGD:S000005211|TAIR:locus:2010202|TAIR:locus:2164401|UniProtKB:A0A1D8PDV7|UniProtKB:O00443|UniProtKB:O00750|UniProtKB:O02810|UniProtKB:P32871|UniProtKB:P42336|UniProtKB:P48736|UniProtKB:Q57WD8|UniProtKB:Q580E2|UniProtKB:Q8I3V5|UniProtKB:Q8NEB9|UniProtKB:Q9UBF8|WB:WBGene00006932	9606	GO_Central		F
UniProtKB	O00329	PIK3CD	is_active_in	GO:0005886	plasma membrane	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000005674|RGD:620231|RGD:620917|UniProtKB:O00443|UniProtKB:O00750|UniProtKB:P48736|dictyBase:DDB_G0278727|dictyBase:DDB_G0283081	9606	GO_Central		C
UniProtKB	O00329	PIK3CD	is_active_in	GO:0005737	cytoplasm	ECO:0000318	IBA	PMID:21873635	FB:FBgn0004373|FB:FBgn0015277|FB:FBgn0015278|MGI:MGI:2445019|MGI:MGI:2685045|PANTHER:PTN000005673|RGD:620231|RGD:621213|RGD:621214|SGD:S000004230|SGD:S000005211|TAIR:locus:2010202|TAIR:locus:2164401|UniProtKB:O00443|UniProtKB:O00750|UniProtKB:P32871|UniProtKB:P42356|UniProtKB:P48736|UniProtKB:Q57WD8|UniProtKB:Q8I3V5|UniProtKB:Q8NEB9|UniProtKB:Q9UBF8|WB:WBGene00000090|WB:WBGene00006932|WB:WBGene00009552|dictyBase:DDB_G0283081|dictyBase:DDB_G0291093	9606	GO_Central		C
UniProtKB	O00329	PIK3CD	involved_in	GO:0016477	cell migration	ECO:0000318	IBA	PMID:21873635	FB:FBgn0015279|PANTHER:PTN000005674|ZFIN:ZDB-GENE-040426-2532	9606	GO_Central		P
