Input	Input_source	Output	Output_source
16486	16486	C08267	KEGG
36119	36119	C00494	KEGG
36119	36119	D02544	KEGG
443474	443474	C11882	KEGG
3903	3903	C00630	KEGG
449118	449118	C05270	KEGG
439940	439940	C03198	KEGG
168114	168114	C17495	KEGG
7814	7814	C05452	KEGG
7814	7814	C19499	KEGG
24856359	24856359	C04630	KEGG
6340	6340	C03535	KEGG
7714	7714	C05336	KEGG
8063	8063	C05768	KEGG
160511	160511	C02983	KEGG
5240	5240	C02165	KEGG
979	979	C01179	KEGG
439162	439162	C00093	KEGG
445675	445675	C00043	KEGG
68841	68841	C01005	KEGG
7858	7858	C05511	KEGG
7858	7858	C02001	KEGG
7456	7456	C04906	KEGG
7456	7456	D01400	KEGG
443135	443135	C11348	KEGG
443363	443363	C11684	KEGG
439524	439524	C01570	KEGG
547	547	C01161	KEGG
18283	18283	C07312	KEGG
18283	18283	D00445	KEGG
13726	13726	C11561	KEGG
13726	13726	C00102	KEGG
439235	439235	C00441	KEGG
92180	92180	C04083	KEGG
72277	72277	C12136	KEGG
5951	5951	C00065	KEGG
5951	5951	D00016	KEGG
2148	2148	D06890	KEGG
445070	445070	C01126	KEGG
445070	445070	C06081	KEGG
66391	66391	D05469	KEGG
439772	439772	C02635	KEGG
369312	369312	C02452	KEGG
998	998	C00601	KEGG
7249	7249	C04666	KEGG
92851	92851	C00793	KEGG
7707	7707	C05326	KEGG
15586712	15586712	C18221	KEGG
6776	6776	C04083	KEGG
6776	6776	C14267	KEGG
74839	74839	C03519	KEGG
123895	123895	C05933	KEGG
6439848	6439848	C16525	KEGG
754	754	C03189	KEGG
71070	71070	C00792	KEGG
12581	12581	C10395	KEGG
8881	8881	C06656	KEGG
9395	Matador	C06606	KEGG
9700	9700	C07497	KEGG
9700	9700	C00364	KEGG
638129	638129	C01732	KEGG
92834	92834	C14500	KEGG
7417	7417	C04862	KEGG
14090	14090	C11929	KEGG
11569	11569	C09378	KEGG
65063	65063	C00365	KEGG
10724	10724	C08531	KEGG
10757	10757	C08564	KEGG
8103	8103	C05808	KEGG
7175	7175	C04574	KEGG
7175	7175	D01422	KEGG
54671203	54671203	C06973	KEGG
54671203	54671203	D07876	KEGG
8794	8794	C06565	KEGG
8794	8794	C16074	KEGG
8033	8033	C05731	KEGG
9502	9502	C07293	KEGG
9502	9502	C11007	KEGG
8975	8975	C06754	KEGG
6575	Matador	C03834	KEGG
6575	Matador	C06790	KEGG
12803	12803	C10620	KEGG
5281871	5281871	C10945	KEGG
186004	186004	C01159	KEGG
6342	6342	C03537	KEGG
13198	13198	C11015	KEGG
439215	439215	C00333	KEGG
5460411	5460411	C04350	KEGG
12594	12594	C10408	KEGG
12594	12594	C04555	KEGG
7364	7364	C04802	KEGG
127293	127293	C11841	KEGG
10413	Matador	C00989	KEGG
10413	Matador	C01991	KEGG
439186	439186	C00208	KEGG
439186	439186	D00044	KEGG
439544	439544	C01674	KEGG
12025	12025	C09837	KEGG
6410	6410	C03626	KEGG
6112	6112	C03242	KEGG
6112	6112	C16241	KEGG
6322	6322	C03512	KEGG
6322	6322	C00062	KEGG
6322	6322	D02982	KEGG
446284	446284	C06428	KEGG
446284	446284	D08061	KEGG
4597	4597	C01408	KEGG
64968	64968	C00459	KEGG
3032849	3032849	C16741	KEGG
1051	1051	C00018	KEGG
5280679	5280679	C04434	KEGG
5962	5962	C03062	KEGG
5962	5962	C00047	KEGG
5962	5962	D02304	KEGG
8007	8007	C05700	KEGG
47	47	C03465	KEGG
67955	67955	C08434	KEGG
8342	8342	C06076	KEGG
440005	440005	C03417	KEGG
25890	25890	C14461	KEGG
439771	439771	C02634	KEGG
8009	8009	C05702	KEGG
31553	31553	D08515	KEGG
638278	638278	C08650	KEGG
21706	21706	C01260	KEGG
5280804	5280804	C05623	KEGG
7467	7467	C04920	KEGG
7467	7467	C06647	KEGG
8061	8061	C05766	KEGG
14283	14283	C12136	KEGG
5790	5790	C02852	KEGG
5790	5790	C11736	KEGG
5790	5790	D04197	KEGG
70	70	C00233	KEGG
10850	10850	C08657	KEGG
10850	10850	C13044	KEGG
10850	10850	D01587	KEGG
7165	7165	C04562	KEGG
261	261	C01412	KEGG
446220	446220	C01416	KEGG
9688	9688	C07485	KEGG
22819	22819	C01710	KEGG
121893	121893	C01079	KEGG
10368940	10368940	C19969	KEGG
13247	13247	C11065	KEGG
6253	6253	C03426	KEGG
6253	6253	C02961	KEGG
6253	6253	D00168	KEGG
8142	8142	C05849	KEGG
10992	10992	C08799	KEGG
1088	1088	C00213	KEGG
7724	7724	C05346	KEGG
71098	71098	C06420	KEGG
348154	348154	C10447	KEGG
10371	10371	C08171	KEGG
10371	10371	C07327	KEGG
10020	10020	C07818	KEGG
5281672	5281672	C10107	KEGG
227	227	C00108	KEGG
3036931	3036931	C00630	KEGG
4510	Matador	C01291	KEGG
4510	Matador	C07455	KEGG
4510	Matador	D00515	KEGG
11357	11357	C09165	KEGG
5773	5773	C02825	KEGG
5773	5773	C11754	KEGG
5773	5773	D01075	KEGG
5961	5961	C03061	KEGG
5961	5961	C00064	KEGG
5961	5961	D00015	KEGG
7146	7146	C04540	KEGG
637090	637090	C01771	KEGG
3848	3848	C00569	KEGG
6623	6623	C03890	KEGG
6623	6623	C13624	KEGG
8742	8742	C06511	KEGG
8742	8742	C00493	KEGG
868	868	C00222	KEGG
92907	92907	C12989	KEGG
8115	8115	C05820	KEGG
8115	8115	C14688	KEGG
7738	7738	C05361	KEGG
13857	13857	C11692	KEGG
6184	6184	C03341	KEGG
180	180	C00207	KEGG
180	180	D02311	KEGG
5280421	5280421	C01275	KEGG
11006	11006	C08813	KEGG
9577	9577	C07373	KEGG
99513	99513	C00273	KEGG
439294	439294	C00691	KEGG
439294	439294	C17577	KEGG
6043	6043	C03156	KEGG
5282768	5282768	C16526	KEGG
440981	440981	C06330	KEGG
440981	440981	C11503	KEGG
529	529	C00988	KEGG
559	559	C02647	KEGG
38	38	C00966	KEGG
5282360	5282360	C14209	KEGG
130418	130418	C00644	KEGG
7611	7611	C05206	KEGG
1549098	1549098	C00606	KEGG
7291	7291	C04719	KEGG
7291	7291	D05075	KEGG
12791	12791	C10608	KEGG
8500	8500	C06262	KEGG
11428	11428	C09237	KEGG
8988	8988	C06768	KEGG
8988	8988	C00763	KEGG
11647	11647	C09456	KEGG
176951	176951	C04091	KEGG
249	249	C00576	KEGG
47289	47289	C16453	KEGG
13207	13207	C11024	KEGG
13602	13602	C11430	KEGG
8552	8552	C06316	KEGG
5282146	5282146	C12623	KEGG
440962	440962	C06241	KEGG
4075	Matador	C00817	KEGG
4075	Matador	D00377	KEGG
5280960	5280960	C06561	KEGG
8064	8064	C05769	KEGG
439893	439893	C03059	KEGG
2950	2950	C10312	KEGG
2950	2950	D07107	KEGG
6942	6942	C04280	KEGG
122357	122357	C00279	KEGG
5281119	5281119	C08322	KEGG
12315	12315	C10129	KEGG
10977	10977	C08784	KEGG
9871	9871	C07669	KEGG
165130	165130	C00789	KEGG
12090	12090	C09904	KEGG
92150	92150	C05945	KEGG
5281416	5281416	C09263	KEGG
12369	12369	C10183	KEGG
54675777	54675777	C06571	KEGG
54675777	54675777	D07689	KEGG
5881	5881	C02967	KEGG
5881	5881	C01227	KEGG
5881	5881	D08409	KEGG
11520	11520	C09329	KEGG
31244	31244	C10761	KEGG
9958	9958	C07756	KEGG
9958	9958	C06730	KEGG
36294	36294	C00397	KEGG
36294	36294	D00063	KEGG
10786	10786	C08593	KEGG
7166	7166	C04563	KEGG
7590	7590	C05179	KEGG
65533	65533	C00103	KEGG
7409	7409	C04853	KEGG
7409	7409	C07112	KEGG
49	49	C00141	KEGG
5282096	5282096	C12206	KEGG
8914	8914	C06689	KEGG
8914	8914	C14696	KEGG
6035	6035	C03147	KEGG
6035	6035	D01763	KEGG
5610	5610	C02630	KEGG
5610	5610	C00483	KEGG
1549439	1549439	C19719	KEGG
8130	8130	C05837	KEGG
8130	8130	C14390	KEGG
68134	68134	C08275	KEGG
7882	7882	C05546	KEGG
14349	14349	C12203	KEGG
14349	14349	C03710	KEGG
6030	6030	C03141	KEGG
6030	6030	C00105	KEGG
6024	6024	C03135	KEGG
