GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O32583	thiS	involved_in	GO:0009228	thiamine biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0784	83333	UniProt		P
UniProtKB	O32583	thiS	enables	GO:0000166	nucleotide binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	83333	UniProt		F
UniProtKB	O32583	thiS	involved_in	GO:0009229	thiamine diphosphate biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00060	83333	UniProt		P
UniProtKB	P00894	ilvH	involved_in	GO:0009097	isoleucine biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000767018|UniProtKB:P00894	83333	GO_Central		P
UniProtKB	P00894	ilvH	involved_in	GO:0009099	valine biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000767018|TAIR:locus:2045248|TAIR:locus:2171292|UniProtKB:P00894	83333	GO_Central		P
UniProtKB	P00894	ilvH	enables	GO:0003984	acetolactate synthase activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000767018|UniProtKB:P00894	83333	GO_Central		F
UniProtKB	P00894	ilvH	is_active_in	GO:0005829	cytosol	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000767018|TAIR:locus:2171292|UniProtKB:P00894	83333	GO_Central		C
UniProtKB	P00894	ilvH	involved_in	GO:0009082	branched-chain amino acid biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004789	83333	InterPro		P
UniProtKB	P00894	ilvH	enables	GO:1990610	acetolactate synthase regulator activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004789	83333	InterPro		F
UniProtKB	P00894	ilvH	enables	GO:0016740	transferase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	83333	UniProt		F
UniProtKB	P00894	ilvH	involved_in	GO:0009082	branched-chain amino acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0100	83333	UniProt		P
UniProtKB	P00894	ilvH	involved_in	GO:0008652	cellular amino acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0028	83333	UniProt		P
UniProtKB	P00894	ilvH	enables	GO:0003984	acetolactate synthase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.2.1.6	83333	UniProt		F
UniProtKB	P00894	ilvH	located_in	GO:0005829	cytosol	ECO:0000314	IDA	PMID:18304323		83333	EcoCyc		C
UniProtKB	P00894	ilvH	involved_in	GO:0009099	valine biosynthetic process	ECO:0000314	IDA	PMID:2675968		83333	EcoCyc		P
UniProtKB	P00894	ilvH	involved_in	GO:0009099	valine biosynthetic process	ECO:0000315	IMP	PMID:4612003		83333	EcoCyc		P
UniProtKB	P00894	ilvH	involved_in	GO:0009097	isoleucine biosynthetic process	ECO:0000314	IDA	PMID:2675968		83333	EcoCyc		P
UniProtKB	P00894	ilvH	enables	GO:0003984	acetolactate synthase activity	ECO:0000314	IDA	PMID:2675968		83333	EcoCyc		F
UniProtKB	P00894	ilvH	enables	GO:0003984	acetolactate synthase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:25249	83333	RHEA		F
UniProtKB	P00894	ilvH	involved_in	GO:0050790	regulation of catalytic activity	ECO:0000366	IEA	GO_REF:0000108	GO:1990610	83333	GOC		P
UniProtKB	P00894	ilvH	involved_in	GO:0009099	valine biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00049	83333	UniProt		P
UniProtKB	P00894	ilvH	involved_in	GO:0009097	isoleucine biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00047	83333	UniProt		P
UniProtKB	P00895	trpE	involved_in	GO:0000162	tryptophan biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002599563|PomBase:SPCC1442.09|SGD:S000000892|UniProtKB:P00895|UniProtKB:P20580|UniProtKB:P32068|UniProtKB:P9WFX3|UniProtKB:Q94GF1|UniProtKB:Q9XJ29	83333	GO_Central		P
UniProtKB	P00895	trpE	enables	GO:0004049	anthranilate synthase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005257	83333	InterPro		F
UniProtKB	P00895	trpE	involved_in	GO:0009058	biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005257|InterPro:IPR005801|InterPro:IPR006805|InterPro:IPR019999	83333	InterPro		P
