GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A384K982	PKNH_1002500	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	5851	UniProt		C
UniProtKB	A0A384K982	PKNH_1002500	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	5851	UniProt		C
UniProtKB	A0A384K9X3	PKNH_1352500	involved_in	GO:0009263	deoxyribonucleotide biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000358|InterPro:IPR033909	5851	InterPro		P
UniProtKB	A0A384K9X3	PKNH_1352500	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012348	5851	InterPro		F
UniProtKB	A0A384K9X3	PKNH_1352500	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	5851	UniProt		F
UniProtKB	A0A384K9X3	PKNH_1352500	enables	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	ECO:0000501	IEA	GO_REF:0000003	EC:1.17.4.1	5851	UniProt		F
UniProtKB	A0A384K9Z3	PKNH_0945600	involved_in	GO:0015986	ATP synthesis coupled proton transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001469|InterPro:IPR020546	5851	InterPro		P
UniProtKB	A0A384K9Z3	PKNH_0945600	enables	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001469	5851	InterPro		F
UniProtKB	A0A384K9Z3	PKNH_0945600	part_of	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001469	5851	InterPro		C
UniProtKB	A0A384K9Z3	PKNH_0945600	involved_in	GO:0006811	ion transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0406	5851	UniProt		P
UniProtKB	A0A384K9Z3	PKNH_0945600	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	5851	UniProt		F
UniProtKB	A0A384K9Z3	PKNH_0945600	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	5851	UniProt		C
UniProtKB	A0A384KBU3	PKNH_0605000	enables	GO:0016746	transferase activity, transferring acyl groups	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001078|InterPro:IPR036625	5851	InterPro		F
