GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	I6WZ71	serA2	involved_in	GO:0006564	L-serine biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000107912|UniProtKB:P9WNX3	83332	GO_Central		P
UniProtKB	I6WZ71	serA2	enables	GO:0004617	phosphoglycerate dehydrogenase activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000107912|UniProtKB:P9WNX3	83332	GO_Central		F
UniProtKB	I6WZ71	serA2	enables	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006139	83332	InterPro		F
UniProtKB	I6WZ71	serA2	enables	GO:0051287	NAD binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006139|InterPro:IPR006140	83332	InterPro		F
UniProtKB	I6WZ71	serA2	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	83332	UniProt		F
UniProtKB	I6X5K1	glnA4	involved_in	GO:0006542	glutamine biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000464978|UniProtKB:P12425	83332	GO_Central		P
UniProtKB	I6X5K1	glnA4	involved_in	GO:0006807	nitrogen compound metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008146|InterPro:IPR036651	83332	InterPro		P
UniProtKB	I6X5K1	glnA4	enables	GO:0004356	glutamate-ammonia ligase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008146|InterPro:IPR036651	83332	InterPro		F
UniProtKB	I6X5K1	glnA4	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014746	83332	InterPro		F
UniProtKB	I6X5K1	glnA4	involved_in	GO:0006542	glutamine biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036651	83332	InterPro		P
UniProtKB	I6X7G8	mce4B	is_active_in	GO:0005618	cell wall	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002120844|UniProtKB:Q79FZ9	83332	GO_Central		C
UniProtKB	I6X7G8	mce4B	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	83332	UniProt		C
UniProtKB	I6X7G8	mce4B	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	83332	UniProt		C
UniProtKB	I6X9R9	aldA	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015590|InterPro:IPR016161|InterPro:IPR016162|InterPro:IPR016163|InterPro:IPR029510	83332	InterPro		F
UniProtKB	I6X9R9	aldA	enables	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016163	83332	InterPro		F
UniProtKB	I6X9R9	aldA	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	enables	GO:0036374	glutathione hydrolase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000101	83332	InterPro		F
UniProtKB	I6X9S5	ggtA	involved_in	GO:0006751	glutathione catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000101	83332	InterPro		P
UniProtKB	I6X9S5	ggtA	enables	GO:0036374	glutathione hydrolase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.4.19.13	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	enables	GO:0102953	hypoglycin A gamma-glutamyl transpeptidase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.2	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	enables	GO:0103068	leukotriene C4 gamma-glutamyl transferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.2	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	83332	GOC		P
UniProtKB	I6X9S5	ggtA	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	83332	GOC		P
UniProtKB	I6XHD6	mce4D	is_active_in	GO:0005618	cell wall	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002120844|UniProtKB:Q79FZ9	83332	GO_Central		C
UniProtKB	I6XHI0	chsH1	enables	GO:0016829	lyase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0456	83332	UniProt		F
UniProtKB	I6XHI0	chsH1	involved_in	GO:0008203	cholesterol metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0153	83332	UniProt		P
UniProtKB	I6XHI0	chsH1	involved_in	GO:0008202	steroid metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0753	83332	UniProt		P
UniProtKB	I6XHI0	chsH1	involved_in	GO:0006629	lipid metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	83332	UniProt		P
UniProtKB	I6XHI0	chsH1	involved_in	GO:0006707	cholesterol catabolic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA01058	83332	UniProt		P
UniProtKB	I6XUD2	Rv0082	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006137	83332	InterPro		F
UniProtKB	I6XWE5	Rv0843	involved_in	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	ECO:0000318	IBA	PMID:21873635	MGI:MGI:97532|PANTHER:PTN000162184|RGD:3286|RGD:620095|SGD:S000000980|UniProtKB:P08559	83332	GO_Central		P
UniProtKB	I6XWE5	Rv0843	enables	GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000162184|RGD:3286|RGD:620095|SGD:S000000980|UniProtKB:P08559|UniProtKB:P29803	83332	GO_Central		F
