GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	B2TTG9	dsbG	located_in	GO:0042597	periplasmic space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009094	344609	InterPro		C
UniProtKB	B2TTH7	citX	involved_in	GO:0051191	prosthetic group biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005551	344609	InterPro		P
UniProtKB	B2TTH7	citX	enables	GO:0016740	transferase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	344609	UniProt		F
UniProtKB	B2TTH7	citX	enables	GO:0016779	nucleotidyltransferase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0548	344609	UniProt		F
UniProtKB	B2TTH7	citX	enables	GO:0050519	holo-citrate lyase synthase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.7.7.61	344609	UniProt		F
UniProtKB	B2TTH7	citX	enables	GO:0050519	holo-citrate lyase synthase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:16333	344609	RHEA		F
UniProtKB	B2TTH7	citX	enables	GO:0050519	holo-citrate lyase synthase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000036454	344609	UniProt		F
UniProtKB	B2TTH8	citF	part_of	GO:0009346	ATP-independent citrate lyase complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006472	344609	InterPro		C
UniProtKB	B2TTH8	citF	located_in	GO:0005737	cytoplasm	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006472	344609	InterPro		C
UniProtKB	B2TTH8	citF	enables	GO:0008814	citrate CoA-transferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006472	344609	InterPro		F
UniProtKB	B2TTH8	citF	involved_in	GO:0006084	acetyl-CoA metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006472	344609	InterPro		P
UniProtKB	B2TTH8	citF	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0963	344609	UniProt		C
UniProtKB	B2TTH8	citF	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	344609	UniProt		F
UniProtKB	B2TTH8	citF	enables	GO:0016829	lyase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0456	344609	UniProt		F
UniProtKB	B2TTH8	citF	enables	GO:0008814	citrate CoA-transferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.8.3.10	344609	UniProt		F
UniProtKB	B2TTH8	citF	enables	GO:0008815	citrate (pro-3S)-lyase activity	ECO:0000501	IEA	GO_REF:0000003	EC:4.1.3.6	344609	UniProt		F
UniProtKB	B2TTH8	citF	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	344609	UniProt		C
UniProtKB	B2TTH8	citF	enables	GO:0008815	citrate (pro-3S)-lyase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:10760	344609	RHEA		F
UniProtKB	B2TTH8	citF	enables	GO:0008814	citrate CoA-transferase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:19405	344609	RHEA		F
UniProtKB	B2TTH8	citF	part_of	GO:0009346	ATP-independent citrate lyase complex	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000461772	344609	UniProt		C
UniProtKB	B2TTH8	citF	enables	GO:0008814	citrate CoA-transferase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000461772	344609	UniProt		F
UniProtKB	B2TTH8	citF	enables	GO:0008815	citrate (pro-3S)-lyase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000461772	344609	UniProt		F
