GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	B7FNW0	PHATRDRAFT_9283	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001433|InterPro:IPR001709|InterPro:IPR003097|InterPro:IPR017927|InterPro:IPR023173	556484	InterPro		F
UniProtKB	B7FNW0	PHATRDRAFT_9283	enables	GO:0010181	FMN binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001094|InterPro:IPR008254	556484	InterPro		F
UniProtKB	B7FNW0	PHATRDRAFT_9283	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	556484	UniProt		F
UniProtKB	B7FP96	PHATRDRAFT_9427	enables	GO:0016758	transferase activity, transferring hexosyl groups	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007235	556484	InterPro		F
UniProtKB	B7FP96	PHATRDRAFT_9427	involved_in	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039042	556484	InterPro		P
UniProtKB	B7FP96	PHATRDRAFT_9427	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	556484	UniProt		F
UniProtKB	B7FP96	PHATRDRAFT_9427	enables	GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.141	556484	UniProt		F
UniProtKB	B7FP96	PHATRDRAFT_9427	enables	GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:23380	556484	RHEA		F
UniProtKB	B7FPB6	PHATRDRAFT_42726	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013509	556484	InterPro		F
UniProtKB	B7FPB6	PHATRDRAFT_42726	enables	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013509	556484	InterPro		F
UniProtKB	B7FPB6	PHATRDRAFT_42726	involved_in	GO:0006260	DNA replication	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000788|InterPro:IPR013509	556484	InterPro		P
UniProtKB	B7FPB6	PHATRDRAFT_42726	enables	GO:0005524	ATP binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	556484	UniProt		F
UniProtKB	B7FPB6	PHATRDRAFT_42726	enables	GO:0003824	catalytic activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0021	556484	UniProt		F
UniProtKB	B7FPB6	PHATRDRAFT_42726	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	556484	UniProt		F
UniProtKB	B7FPB6	PHATRDRAFT_42726	enables	GO:0000166	nucleotide binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	556484	UniProt		F
