GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O32583	thiS	involved_in	GO:0009228	thiamine biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0784	83333	UniProt		P
UniProtKB	O32583	thiS	enables	GO:0000166	nucleotide binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	83333	UniProt		F
UniProtKB	O32583	thiS	involved_in	GO:0009229	thiamine diphosphate biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00060	83333	UniProt		P
UniProtKB	P00363	frdA	is_active_in	GO:0005886	plasma membrane	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000180228|UniProtKB:P00363|UniProtKB:P0AC41	83333	GO_Central		C
UniProtKB	P00363	frdA	part_of	GO:0045284	plasma membrane fumarate reductase complex	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN001360427|UniProtKB:P00363	83333	GO_Central		C
UniProtKB	P00363	frdA	involved_in	GO:0006113	fermentation	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN001360427|UniProtKB:P00363	83333	GO_Central		P
UniProtKB	P00363	frdA	enables	GO:0000104	succinate dehydrogenase activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000180228|RGD:621557|SGD:S000001631|SGD:S000003581|UniProtKB:P0AC41|UniProtKB:P31040	83333	GO_Central		F
UniProtKB	P00363	frdA	involved_in	GO:0009061	anaerobic respiration	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000180228|UniProtKB:P00363	83333	GO_Central		P
UniProtKB	P00363	frdA	enables	GO:0050660	flavin adenine dinucleotide binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000180228|SGD:S000001631|UniProtKB:P00363|UniProtKB:P0AC41	83333	GO_Central		F
UniProtKB	P00363	frdA	enables	GO:0009055	electron transfer activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000180228|UniProtKB:P00363|UniProtKB:P0AC41	83333	GO_Central		F
UniProtKB	P00363	frdA	involved_in	GO:0022900	electron transport chain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014006	83333	InterPro		P
UniProtKB	P00363	frdA	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003952|InterPro:IPR005884|InterPro:IPR015939|InterPro:IPR037099	83333	InterPro		F
UniProtKB	P00363	frdA	enables	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014006	83333	InterPro		F
UniProtKB	P00363	frdA	involved_in	GO:0009061	anaerobic respiration	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005884	83333	InterPro		P
UniProtKB	P00363	frdA	enables	GO:0050660	flavin adenine dinucleotide binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014006	83333	InterPro		F
UniProtKB	P00363	frdA	enables	GO:0016491	oxidoreductase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	83333	UniProt		F
UniProtKB	P00363	frdA	enables	GO:0000166	nucleotide binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	83333	UniProt		F
UniProtKB	P00363	frdA	located_in	GO:0005886	plasma membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1003	83333	UniProt		C
UniProtKB	P00363	frdA	located_in	GO:0005886	plasma membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0997	83333	UniProt		C
UniProtKB	P00363	frdA	located_in	GO:0016020	membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	83333	UniProt		C
UniProtKB	P00363	frdA	enables	GO:0102040	fumarate reductase (menaquinone)	ECO:0000501	IEA	GO_REF:0000003	EC:1.3.5.4	83333	UniProt		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:11850430	UniProtKB:P0AC47	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:15690043	UniProtKB:P76111	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16858726	UniProtKB:P0AC47	83333	IntAct		F
UniProtKB	P00363	frdA	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:17137328	UniProtKB:P0AC47	83333	IntAct		F
