GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	B1LCZ8	torY	enables	GO:0005506	iron ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009154	439855	InterPro		F
UniProtKB	B1LCZ8	torY	enables	GO:0020037	heme binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009154	439855	InterPro		F
UniProtKB	B1LCZ8	torY	located_in	GO:0016021	integral component of membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009154	439855	InterPro		C
UniProtKB	B1LCZ8	torY	located_in	GO:0009276	Gram-negative-bacterium-type cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009154	439855	InterPro		C
UniProtKB	B1LCZ8	torY	enables	GO:0009055	electron transfer activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009154	439855	InterPro		F
UniProtKB	B1LCZ8	torY	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	439855	UniProt		F
UniProtKB	B1LCZ8	torY	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0997	439855	UniProt		C
UniProtKB	B1LCZ8	torY	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-1003	439855	UniProt		C
UniProtKB	B1LCZ8	torY	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	439855	UniProt		F
UniProtKB	B1LCZ8	torY	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	439855	UniProt		C
UniProtKB	B1LCZ8	torY	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	439855	UniProt		C
UniProtKB	B1LCZ8	torY	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	439855	UniProt		C
UniProtKB	B1LCZ8	torY	enables	GO:0005506	iron ion binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000359756	439855	UniProt		F
UniProtKB	B1LCZ8	torY	enables	GO:0020037	heme binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000359756	439855	UniProt		F
UniProtKB	B1LCZ8	torY	located_in	GO:0009276	Gram-negative-bacterium-type cell wall	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000359756	439855	UniProt		C
UniProtKB	B1LCZ8	torY	enables	GO:0009055	electron transfer activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000359756	439855	UniProt		F
UniProtKB	B1LCZ8	torY	involved_in	GO:0022900	electron transport chain	ECO:0000366	IEA	GO_REF:0000108	GO:0009055	439855	GOC		P
UniProtKB	B1LCZ8	torY	involved_in	GO:0022900	electron transport chain	ECO:0000366	IEA	GO_REF:0000108	GO:0009055	439855	GOC		P
UniProtKB	B1LCZ9	torZ	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006655|InterPro:IPR006656|InterPro:IPR006657|InterPro:IPR006658	439855	InterPro		F
UniProtKB	B1LCZ9	torZ	enables	GO:0043546	molybdopterin cofactor binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006657	439855	InterPro		F
UniProtKB	B1LCZ9	torZ	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	439855	UniProt		F
UniProtKB	B1LCZ9	torZ	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	439855	UniProt		F
UniProtKB	B1LCZ9	torZ	enables	GO:0050626	trimethylamine-N-oxide reductase (cytochrome c) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.7.2.3	439855	UniProt		F
UniProtKB	B1LCZ9	torZ	located_in	GO:0042597	periplasmic space	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0200	439855	UniProt		C
UniProtKB	B1LCZ9	torZ	enables	GO:0050626	trimethylamine-N-oxide reductase (cytochrome c) activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:24236	439855	RHEA		F
UniProtKB	B1LD61	pabB	involved_in	GO:0009396	folic acid-containing compound biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005802	439855	InterPro		P
UniProtKB	B1LD61	pabB	involved_in	GO:0009058	biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005801|InterPro:IPR006805|InterPro:IPR019999	439855	InterPro		P
UniProtKB	B1LD61	pabB	enables	GO:0008483	transaminase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0032	439855	UniProt		F
UniProtKB	B1LD61	pabB	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	439855	UniProt		F
UniProtKB	B1LD61	pabB	enables	GO:0046820	4-amino-4-deoxychorismate synthase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.6.1.85	439855	UniProt		F
UniProtKB	B1LDA3	gcvP	enables	GO:0004375	glycine dehydrogenase (decarboxylating) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003437|InterPro:IPR020581	439855	InterPro		F
UniProtKB	B1LDA3	gcvP	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015421|InterPro:IPR015422	439855	InterPro		F
UniProtKB	B1LDA3	gcvP	involved_in	GO:0006546	glycine catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020581	439855	InterPro		P
UniProtKB	B1LDA3	gcvP	involved_in	GO:0006544	glycine metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003437	439855	InterPro		P
UniProtKB	B1LDA3	gcvP	enables	GO:0016491	oxidoreductase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	439855	UniProt		F
UniProtKB	B1LDA3	gcvP	enables	GO:0004375	glycine dehydrogenase (decarboxylating) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.4.4.2	439855	UniProt		F
UniProtKB	B1LDA3	gcvP	enables	GO:0004375	glycine dehydrogenase (decarboxylating) activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:24304	439855	RHEA		F
UniProtKB	B1LDA3	gcvP	involved_in	GO:0019464	glycine decarboxylation via glycine cleavage system	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000098384	439855	UniProt		P
UniProtKB	B1LDA4	gcvH	part_of	GO:0005960	glycine cleavage complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002930|InterPro:IPR017453	439855	InterPro		C
UniProtKB	B1LDA4	gcvH	involved_in	GO:0019464	glycine decarboxylation via glycine cleavage system	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002930|InterPro:IPR017453	439855	InterPro		P
UniProtKB	B1LDA4	gcvH	involved_in	GO:0019464	glycine decarboxylation via glycine cleavage system	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000083076	439855	UniProt		P
UniProtKB	B1LDA5	gcvT	enables	GO:0004047	aminomethyltransferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006223|InterPro:IPR022903	439855	InterPro		F
UniProtKB	B1LDA5	gcvT	involved_in	GO:0006546	glycine catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006223|InterPro:IPR022903	439855	InterPro		P
UniProtKB	B1LDA5	gcvT	enables	GO:0008483	transaminase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0032	439855	UniProt		F
UniProtKB	B1LDA5	gcvT	enables	GO:0016740	transferase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	439855	UniProt		F
UniProtKB	B1LDA5	gcvT	enables	GO:0004047	aminomethyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.1.2.10	439855	UniProt		F
UniProtKB	B1LDA5	gcvT	enables	GO:0004047	aminomethyltransferase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:16945	439855	RHEA		F
UniProtKB	B1LDA5	gcvT	involved_in	GO:0019464	glycine decarboxylation via glycine cleavage system	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000034448	439855	UniProt		P
