GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	C0SP82	yoaE	enables	GO:0030151	molybdenum ion binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000177395|UniProtKB:P20099	224308	GO_Central		F
UniProtKB	C0SP82	yoaE	is_active_in	GO:0030288	outer membrane-bounded periplasmic space	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000177395|UniProtKB:P33225|UniProtKB:P46923	224308	GO_Central		C
UniProtKB	C0SP82	yoaE	involved_in	GO:0009061	anaerobic respiration	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000177395|UniProtKB:P18775|UniProtKB:P33225|UniProtKB:P46923	224308	GO_Central		P
UniProtKB	C0SP82	yoaE	enables	GO:0009055	electron transfer activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000177395|UniProtKB:P18775|UniProtKB:P33225	224308	GO_Central		F
UniProtKB	C0SP82	yoaE	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006655|InterPro:IPR006656|InterPro:IPR006657|InterPro:IPR006963	224308	InterPro		F
UniProtKB	C0SP82	yoaE	enables	GO:0043546	molybdopterin cofactor binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006657	224308	InterPro		F
UniProtKB	C0SP82	yoaE	enables	GO:0016491	oxidoreductase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	224308	UniProt		F
UniProtKB	C0SP82	yoaE	enables	GO:0046872	metal ion binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	224308	UniProt		F
UniProtKB	C0SP82	yoaE	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0411	224308	UniProt		F
UniProtKB	C0SP82	yoaE	involved_in	GO:0022900	electron transport chain	ECO:0000364	IEA	GO_REF:0000108	GO:0009055	224308	GOC		P
UniProtKB	C0SP90	ythA	enables	GO:0009055	electron transfer activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000769172|UniProtKB:P0ABJ9|UniProtKB:P26459	224308	GO_Central		F
UniProtKB	C0SP90	ythA	is_active_in	GO:0005886	plasma membrane	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000769172|UniProtKB:P0ABJ9|UniProtKB:P26459	224308	GO_Central		C
UniProtKB	C0SP90	ythA	enables	GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000769172|UniProtKB:P26459	224308	GO_Central		F
UniProtKB	C0SP90	ythA	involved_in	GO:0019646	aerobic electron transport chain	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000769172|UniProtKB:P0ABJ9|UniProtKB:P26459	224308	GO_Central		P
UniProtKB	C0SP90	ythA	enables	GO:0020037	heme binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000769172|UniProtKB:P0ABJ9	224308	GO_Central		F
UniProtKB	C0SP90	ythA	part_of	GO:0070069	cytochrome complex	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000769172|UniProtKB:P0ABJ9|UniProtKB:P26459	224308	GO_Central		C
UniProtKB	C0SP90	ythA	part_of	GO:0070069	cytochrome complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002585	224308	InterPro		C
UniProtKB	C0SP90	ythA	involved_in	GO:0019646	aerobic electron transport chain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002585	224308	InterPro		P
UniProtKB	C0SP90	ythA	enables	GO:0009055	electron transfer activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002585	224308	InterPro		F
UniProtKB	C0SP90	ythA	involved_in	GO:0030435	sporulation resulting in formation of a cellular spore	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0749	224308	UniProt		P
UniProtKB	C0SP90	ythA	enables	GO:0016491	oxidoreductase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	224308	UniProt		F
UniProtKB	C0SP90	ythA	located_in	GO:0005886	plasma membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-1003	224308	UniProt		C
UniProtKB	C0SP90	ythA	enables	GO:0046872	metal ion binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	224308	UniProt		F
UniProtKB	C0SP90	ythA	located_in	GO:0016020	membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	224308	UniProt		C
UniProtKB	C0SP90	ythA	located_in	GO:0016021	integral component of membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	224308	UniProt		C
UniProtKB	C0SP90	ythA	located_in	GO:0005886	plasma membrane	ECO:0000322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	224308	UniProt		C
UniProtKB	C0SP93	accD	part_of	GO:0009317	acetyl-CoA carboxylase complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000438	224308	InterPro		C
UniProtKB	C0SP93	accD	enables	GO:0003989	acetyl-CoA carboxylase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000438	224308	InterPro		F
UniProtKB	C0SP93	accD	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000438	224308	InterPro		P
UniProtKB	C0SP93	accD	enables	GO:0005524	ATP binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	224308	UniProt		F
UniProtKB	C0SP93	accD	located_in	GO:0005737	cytoplasm	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0963	224308	UniProt		C
