GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A5JZ58	PVX_122165	part_of	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004908|InterPro:IPR011987	126793	InterPro		C
UniProtKB	A5JZ58	PVX_122165	enables	GO:0046961	proton-transporting ATPase activity, rotational mechanism	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004908	126793	InterPro		F
UniProtKB	A5JZ58	PVX_122165	involved_in	GO:1902600	proton transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004908|InterPro:IPR011987	126793	InterPro		P
UniProtKB	A5JZ58	PVX_122165	involved_in	GO:0006811	ion transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0406	126793	UniProt		P
UniProtKB	A5JZ58	PVX_122165	part_of	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000759775	126793	UniProt		C
UniProtKB	A5JZ58	PVX_122165	enables	GO:0046961	proton-transporting ATPase activity, rotational mechanism	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000759775	126793	UniProt		F
UniProtKB	A5JZ58	PVX_122165	involved_in	GO:1902600	proton transmembrane transport	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000759775	126793	UniProt		P
UniProtKB	A5JZ91	PVX_122330	involved_in	GO:0015986	ATP synthesis coupled proton transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000711	126793	InterPro		P
UniProtKB	A5JZ91	PVX_122330	enables	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000711	126793	InterPro		F
UniProtKB	A5JZ91	PVX_122330	involved_in	GO:0006811	ion transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0406	126793	UniProt		P
UniProtKB	A5JZ91	PVX_122330	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	126793	UniProt		C
UniProtKB	A5JZ91	PVX_122330	involved_in	GO:0006754	ATP biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0066	126793	UniProt		P
UniProtKB	A5JZA4	PVX_122395	involved_in	GO:0015986	ATP synthesis coupled proton transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000131|InterPro:IPR035968	126793	InterPro		P
UniProtKB	A5JZA4	PVX_122395	enables	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000131|InterPro:IPR035968	126793	InterPro		F
UniProtKB	A5JZA4	PVX_122395	part_of	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000131|InterPro:IPR035968	126793	InterPro		C
UniProtKB	A5JZA4	PVX_122395	involved_in	GO:0006811	ion transport	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0406	126793	UniProt		P
UniProtKB	A5JZA4	PVX_122395	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	126793	UniProt		C
UniProtKB	A5JZA4	PVX_122395	involved_in	GO:0006754	ATP biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0066	126793	UniProt		P
UniProtKB	A5JZA4	PVX_122395	part_of	GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0139	126793	UniProt		C
UniProtKB	A5JZA9	PVX_122425	enables	GO:0008237	metallopeptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014782	126793	InterPro		F
UniProtKB	A5JZA9	PVX_122425	enables	GO:0008270	zinc ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012779|InterPro:IPR014782	126793	InterPro		F
UniProtKB	A5JZA9	PVX_122425	involved_in	GO:0006508	proteolysis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001930	126793	InterPro		P
UniProtKB	A5JZA9	PVX_122425	enables	GO:0008233	peptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	126793	UniProt		F
UniProtKB	A5JZA9	PVX_122425	enables	GO:0008237	metallopeptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0482	126793	UniProt		F
UniProtKB	A5JZA9	PVX_122425	enables	GO:0004177	aminopeptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0031	126793	UniProt		F
UniProtKB	A5JZA9	PVX_122425	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	126793	UniProt		F
UniProtKB	A5JZA9	PVX_122425	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	126793	UniProt		F
UniProtKB	A5JZA9	PVX_122425	involved_in	GO:0006508	proteolysis	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	126793	UniProt		P
UniProtKB	A5JZB0	PVX_122430	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000194|InterPro:IPR020003	126793	InterPro		F
UniProtKB	A5JZB0	PVX_122430	part_of	GO:0033180	proton-transporting V-type ATPase, V1 domain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005725	126793	InterPro		C
UniProtKB	A5JZB0	PVX_122430	enables	GO:0046961	proton-transporting ATPase activity, rotational mechanism	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005725	126793	InterPro		F
UniProtKB	A5JZB0	PVX_122430	involved_in	GO:0046034	ATP metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004100|InterPro:IPR022878|InterPro:IPR036121	126793	InterPro		P
UniProtKB	A5JZB0	PVX_122430	involved_in	GO:1902600	proton transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004100|InterPro:IPR005725|InterPro:IPR036121	126793	InterPro		P
UniProtKB	A5JZB0	PVX_122430	enables	GO:0005524	ATP binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	126793	UniProt		F
