GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A2AG36	Pigo	enables	GO:0016772	transferase activity, transferring phosphorus-containing groups	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039524	10090	InterPro		F
UniProtKB	A2AG36	Pigo	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017850	10090	InterPro		F
UniProtKB	A2AG36	Pigo	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037675|InterPro:IPR039524	10090	InterPro		P
UniProtKB	A2AG36	Pigo	enables	GO:0051377	mannose-ethanolamine phosphotransferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037675	10090	InterPro		F
UniProtKB	A2AG36	Pigo	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	10090	UniProt		C
UniProtKB	A2AG36	Pigo	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	10090	UniProt		C
UniProtKB	A2AG36	Pigo	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0337	10090	UniProt		P
UniProtKB	A2AG36	Pigo	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	10090	UniProt		C
UniProtKB	A2AG36	Pigo	located_in	GO:0005789	endoplasmic reticulum membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	10090	UniProt		C
UniProtKB	A2AG36	Pigo	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00196	10090	UniProt		P
UniProtKB	D3Z3Y1	Pigg	is_active_in	GO:0030176	integral component of endoplasmic reticulum membrane	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000552977|SGD:S000003598	10090	GO_Central		C
UniProtKB	D3Z3Y1	Pigg	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000552977|SGD:S000003598|UniProtKB:Q5H8A4	10090	GO_Central		P
UniProtKB	D3Z3Y1	Pigg	enables	GO:0051267	CP2 mannose-ethanolamine phosphotransferase activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000552977|SGD:S000003598|UniProtKB:Q5H8A4	10090	GO_Central		F
UniProtKB	D3Z3Y1	Pigg	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017850	10090	InterPro		F
UniProtKB	D3Z3Y1	Pigg	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037674|InterPro:IPR039527	10090	InterPro		P
UniProtKB	D3Z3Y1	Pigg	enables	GO:0051377	mannose-ethanolamine phosphotransferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037674|InterPro:IPR039527	10090	InterPro		F
UniProtKB	D3Z3Y1	Pigg	located_in	GO:0005783	endoplasmic reticulum	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0256	10090	UniProt		C
UniProtKB	D3Z3Y1	Pigg	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	10090	UniProt		F
UniProtKB	D3Z3Y1	Pigg	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	10090	UniProt		C
UniProtKB	D3Z3Y1	Pigg	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	10090	UniProt		C
UniProtKB	D3Z3Y1	Pigg	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0337	10090	UniProt		P
UniProtKB	D3Z3Y1	Pigg	part_of	GO:0005783	endoplasmic reticulum	ECO:0000266	ISO	PMID:15632136	UniProtKB:Q5H8A4	10090	MGI		C
UniProtKB	D3Z3Y1	Pigg	acts_upstream_of_or_within	GO:0006506	GPI anchor biosynthetic process	ECO:0000266	ISO	PMID:15632136	UniProtKB:Q5H8A4	10090	MGI		P
UniProtKB	D3Z3Y1	Pigg	enables	GO:0051267	CP2 mannose-ethanolamine phosphotransferase activity	ECO:0000266	ISO	PMID:15632136	UniProtKB:Q5H8A4	10090	MGI		F
UniProtKB	D3Z3Y1	Pigg	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	10090	UniProt		C
UniProtKB	D3Z3Y1	Pigg	located_in	GO:0005789	endoplasmic reticulum membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	10090	UniProt		C
UniProtKB	D3Z3Y1	Pigg	involved_in	GO:0006506	GPI anchor biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00196	10090	UniProt		P
UniProtKB	E9Q4Z2	Acacb	enables	GO:0003989	acetyl-CoA carboxylase activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O00763	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005479|InterPro:IPR011761|InterPro:IPR013537|InterPro:IPR013815	10090	InterPro		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0016874	ligase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011763	10090	InterPro		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0003989	acetyl-CoA carboxylase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013537	10090	InterPro		F
UniProtKB	E9Q4Z2	Acacb	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013537	10090	InterPro		P
UniProtKB	E9Q4Z2	Acacb	enables	GO:0046872	metal ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011761	10090	InterPro		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0005524	ATP binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0003824	catalytic activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0021	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0003824	catalytic activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0511	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0016874	ligase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0436	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0000166	nucleotide binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	enables	GO:0046872	metal ion binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	10090	UniProt		F
UniProtKB	E9Q4Z2	Acacb	involved_in	GO:0008152	metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0511	10090	UniProt		P
UniProtKB	E9Q4Z2	Acacb	involved_in	GO:0008152	metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0021	10090	UniProt		P
UniProtKB	E9Q4Z2	Acacb	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0275	10090	UniProt		P
UniProtKB	E9Q4Z2	Acacb	involved_in	GO:0006631	fatty acid metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0276	10090	UniProt		P
UniProtKB	E9Q4Z2	Acacb	involved_in	GO:0006629	lipid metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	10090	UniProt		P
UniProtKB	E9Q4Z2	Acacb	located_in	GO:0005739	mitochondrion	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0496	10090	UniProt		C
UniProtKB	E9Q4Z2	Acacb	enables	GO:0003989	acetyl-CoA carboxylase activity	ECO:0000501	IEA	GO_REF:0000003	EC:6.4.1.2	10090	UniProt		F
