GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	I6X5K1	glnA4	involved_in	GO:0006542	glutamine biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000464978|UniProtKB:P12425	83332	GO_Central		P
UniProtKB	I6X5K1	glnA4	involved_in	GO:0006807	nitrogen compound metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008146|InterPro:IPR036651	83332	InterPro		P
UniProtKB	I6X5K1	glnA4	enables	GO:0004356	glutamate-ammonia ligase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008146|InterPro:IPR036651	83332	InterPro		F
UniProtKB	I6X5K1	glnA4	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014746	83332	InterPro		F
UniProtKB	I6X5K1	glnA4	involved_in	GO:0006542	glutamine biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036651	83332	InterPro		P
UniProtKB	I6X9R9	aldA	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015590|InterPro:IPR016161|InterPro:IPR016162|InterPro:IPR016163|InterPro:IPR029510	83332	InterPro		F
UniProtKB	I6X9R9	aldA	enables	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016163	83332	InterPro		F
UniProtKB	I6X9R9	aldA	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	enables	GO:0036374	glutathione hydrolase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000101	83332	InterPro		F
UniProtKB	I6X9S5	ggtA	involved_in	GO:0006751	glutathione catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000101	83332	InterPro		P
UniProtKB	I6X9S5	ggtA	enables	GO:0036374	glutathione hydrolase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.4.19.13	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	enables	GO:0102953	hypoglycin A gamma-glutamyl transpeptidase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.2	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	enables	GO:0103068	leukotriene C4 gamma-glutamyl transferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.2	83332	UniProt		F
UniProtKB	I6X9S5	ggtA	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	83332	GOC		P
UniProtKB	I6X9S5	ggtA	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0036374	83332	GOC		P
UniProtKB	I6XI14	cobQ2	involved_in	GO:0009236	cobalamin biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033949	83332	InterPro		P
UniProtKB	I6XI14	cobQ2	enables	GO:0004359	glutaminase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR043702	83332	InterPro		F
UniProtKB	I6XI14	cobQ2	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011698	83332	InterPro		F
UniProtKB	I6XI14	cobQ2	involved_in	GO:0071555	cell wall organization	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR043702	83332	InterPro		P
UniProtKB	I6XI14	cobQ2	involved_in	GO:0009252	peptidoglycan biosynthetic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0573	83332	UniProt		P
UniProtKB	I6XI14	cobQ2	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	83332	UniProt		F
UniProtKB	I6XI14	cobQ2	enables	GO:0016874	ligase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0436	83332	UniProt		F
UniProtKB	I6XI14	cobQ2	involved_in	GO:0071555	cell wall organization	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0961	83332	UniProt		P
UniProtKB	I6XI14	cobQ2	involved_in	GO:0008360	regulation of cell shape	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0133	83332	UniProt		P
UniProtKB	I6XI14	cobQ2	involved_in	GO:0006541	glutamine metabolic process	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0315	83332	UniProt		P
UniProtKB	I6XI14	cobQ2	enables	GO:0004359	glutaminase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.5.1.2	83332	UniProt		F
UniProtKB	I6XI14	cobQ2	enables	GO:0140282	carbon-nitrogen ligase activity on lipid II	ECO:0000501	IEA	GO_REF:0000003	EC:6.3.5.13	83332	UniProt		F
UniProtKB	I6XI14	cobQ2	enables	GO:0004359	glutaminase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:15889	83332	RHEA		F
UniProtKB	I6XI14	cobQ2	enables	GO:0140282	carbon-nitrogen ligase activity on lipid II	ECO:0000256	IEA	GO_REF:0000116	RHEA:57928	83332	RHEA		F
UniProtKB	I6XI14	cobQ2	involved_in	GO:0009252	peptidoglycan biosynthetic process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001155645	83332	UniProt		P
UniProtKB	I6XI14	cobQ2	enables	GO:0004359	glutaminase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001155645	83332	UniProt		F
UniProtKB	I6XI14	cobQ2	enables	GO:0140282	carbon-nitrogen ligase activity on lipid II	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001155645	83332	UniProt		F
UniProtKB	I6XI14	cobQ2	involved_in	GO:0006541	glutamine metabolic process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413822	83332	UniProt		P
UniProtKB	I6XI14	cobQ2	involved_in	GO:0009252	peptidoglycan biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00219	83332	UniProt		P
UniProtKB	I6XUD2	Rv0082	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006137	83332	InterPro		F
UniProtKB	I6Y0L1	mbtE	involved_in	GO:0043041	amino acid activation for nonribosomal peptide biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002378821|UniProtKB:P11454	83332	GO_Central		P
UniProtKB	I6Y0L1	mbtE	involved_in	GO:0044550	secondary metabolite biosynthetic process	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002378821|PomBase:SPAC23G3.02c|UniProtKB:P11454|UniProtKB:Q9I181|UniProtKB:Q9KTV9	83332	GO_Central		P
UniProtKB	I6Y0L1	mbtE	is_active_in	GO:0005829	cytosol	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002378851|UniProtKB:P11454	83332	GO_Central		C
