GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	P00127	QCR6	part_of	GO:0005750	mitochondrial respiratory chain complex III	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000393767|RGD:1305987|SGD:S000001929	559292	GO_Central		C
UniProtKB	P00127	QCR6	involved_in	GO:0009060	aerobic respiration	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000393767|SGD:S000001929	559292	GO_Central		P
UniProtKB	P00127	QCR6	involved_in	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000393767|SGD:S000001929	559292	GO_Central		P
UniProtKB	P00127	QCR6	located_in	GO:0070469	respirasome	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0679	559292	UniProt		C
UniProtKB	P00127	QCR6	located_in	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0999	559292	UniProt		C
UniProtKB	P00127	QCR6	located_in	GO:0016020	membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	559292	UniProt		C
UniProtKB	P00127	QCR6	located_in	GO:0005739	mitochondrion	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0496	559292	UniProt		C
UniProtKB	P00127	QCR6	contributes_to	GO:0008121	ubiquinol-cytochrome-c reductase activity	ECO:0000315	IMP	PMID:8288589		559292	SGD		F
UniProtKB	P00127	QCR6	located_in	GO:0005758	mitochondrial intermembrane space	ECO:0000314	IDA	PMID:22984289		559292	SGD		C
UniProtKB	P00127	QCR6	involved_in	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	ECO:0000315	IMP	PMID:8288589		559292	SGD		P
UniProtKB	P00127	QCR6	involved_in	GO:0009060	aerobic respiration	ECO:0000315	IMP	PMID:8288589		559292	SGD		P
UniProtKB	P00127	QCR6	part_of	GO:0005750	mitochondrial respiratory chain complex III	ECO:0000314	IDA	PMID:10873857		559292	SGD		C
UniProtKB	P00127	QCR6	located_in	GO:0034399	nuclear periphery	ECO:0000314	IDA	PMID:25817432		559292	SGD	exists_during(GO:0006974)	C
UniProtKB	P00127	QCR6	located_in	GO:0005739	mitochondrion	ECO:0007005	HDA	PMID:16823961		559292	SGD		C
UniProtKB	P00127	QCR6	located_in	GO:0005739	mitochondrion	ECO:0007005	HDA	PMID:24769239		559292	SGD		C
UniProtKB	P00127	QCR6	located_in	GO:0005739	mitochondrion	ECO:0007005	HDA	PMID:14576278		559292	SGD		C
UniProtKB	P00127	QCR6	located_in	GO:0005739	mitochondrion	ECO:0007005	HDA	PMID:11914276		559292	SGD		C
UniProtKB	P00127	QCR6	located_in	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0168	559292	UniProt		C
UniProtKB	P00128	QCR7	part_of	GO:0005750	mitochondrial respiratory chain complex III	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000246311|RGD:1311971|SGD:S000002937|TAIR:locus:2127846|TAIR:locus:2145527|UniProtKB:Q871K1	559292	GO_Central		C
UniProtKB	P00128	QCR7	involved_in	GO:0009060	aerobic respiration	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000246311|SGD:S000002937	559292	GO_Central		P
UniProtKB	P00128	QCR7	involved_in	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000246311|SGD:S000002937|UniProtKB:Q871K1	559292	GO_Central		P
UniProtKB	P00128	QCR7	involved_in	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003197	559292	InterPro		P
UniProtKB	P00128	QCR7	part_of	GO:0005750	mitochondrial respiratory chain complex III	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003197	559292	InterPro		C
UniProtKB	P00128	QCR7	located_in	GO:0070469	respirasome	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0679	559292	UniProt		C
UniProtKB	P00128	QCR7	located_in	GO:0005743	mitochondrial inner membrane	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0999	559292	UniProt		C
