GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	P0A6B0	acpP	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003231	83334	InterPro		P
UniProtKB	P0A6B0	acpP	located_in	GO:0005737	cytoplasm	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0963	83334	UniProt		C
UniProtKB	P0A6B0	acpP	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0275	83334	UniProt		P
UniProtKB	P0A6B0	acpP	involved_in	GO:0006631	fatty acid metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0276	83334	UniProt		P
UniProtKB	P0A6B0	acpP	involved_in	GO:0006629	lipid metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0443	83334	UniProt		P
UniProtKB	P0A6B0	acpP	located_in	GO:0005737	cytoplasm	ECO:0000322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	83334	UniProt		C
UniProtKB	P0A6B0	acpP	located_in	GO:0005737	cytoplasm	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101233	83334	UniProt		C
UniProtKB	P0A6B0	acpP	enables	GO:0000036	acyl carrier activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101233	83334	UniProt		F
UniProtKB	P0A6B0	acpP	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101233	83334	UniProt		P
UniProtKB	P0A6B0	acpP	involved_in	GO:0006633	fatty acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000041	UniPathway:UPA00094	83334	UniProt		P
UniProtKB	P0A6B9	iscS	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010240	83334	InterPro		F
UniProtKB	P0A6B9	iscS	enables	GO:0031071	cysteine desulfurase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010240	83334	InterPro		F
UniProtKB	P0A6B9	iscS	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015421|InterPro:IPR015422	83334	InterPro		F
UniProtKB	P0A6B9	iscS	involved_in	GO:0044571	[2Fe-2S] cluster assembly	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010240	83334	InterPro		P
UniProtKB	P0A6B9	iscS	located_in	GO:0005737	cytoplasm	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0963	83334	UniProt		C
UniProtKB	P0A6B9	iscS	enables	GO:0016740	transferase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	83334	UniProt		F
UniProtKB	P0A6B9	iscS	enables	GO:0046872	metal ion binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	83334	UniProt		F
UniProtKB	P0A6B9	iscS	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0411	83334	UniProt		F
UniProtKB	P0A6B9	iscS	enables	GO:0051537	2 iron, 2 sulfur cluster binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0001	83334	UniProt		F
UniProtKB	P0A6B9	iscS	involved_in	GO:0008033	tRNA processing	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0819	83334	UniProt		P
UniProtKB	P0A6B9	iscS	enables	GO:0031071	cysteine desulfurase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.8.1.7	83334	UniProt		F
UniProtKB	P0A6B9	iscS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20404999	UniProtKB:P0A892	83334	IntAct		F
UniProtKB	P0A6B9	iscS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20404999	UniProtKB:P0ACD6	83334	IntAct		F
UniProtKB	P0A6B9	iscS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20404999	UniProtKB:P0C0M0	83334	IntAct		F
UniProtKB	P0A6B9	iscS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20404999	UniProtKB:Q8XAP0	83334	IntAct		F
UniProtKB	P0A6B9	iscS	located_in	GO:0005737	cytoplasm	ECO:0000322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	83334	UniProt		C
UniProtKB	P0A6B9	iscS	enables	GO:0031071	cysteine desulfurase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:43892	83334	RHEA		F
UniProtKB	P0A6B9	iscS	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084057	83334	UniProt		F
UniProtKB	P0A6B9	iscS	located_in	GO:0005737	cytoplasm	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084057	83334	UniProt		C
UniProtKB	P0A6B9	iscS	enables	GO:0031071	cysteine desulfurase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084057	83334	UniProt		F
UniProtKB	P0A6B9	iscS	involved_in	GO:0044571	[2Fe-2S] cluster assembly	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084057	83334	UniProt		P
UniProtKB	P0A6B9	iscS	enables	GO:0051537	2 iron, 2 sulfur cluster binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000084057	83334	UniProt		F
UniProtKB	P0A6F2	carA	enables	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006274	83334	InterPro		F
UniProtKB	P0A6F2	carA	involved_in	GO:0006541	glutamine metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006274	83334	InterPro		P
UniProtKB	P0A6F2	carA	involved_in	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006274	83334	InterPro		P
UniProtKB	P0A6F2	carA	enables	GO:0005524	ATP binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	83334	UniProt		F
UniProtKB	P0A6F2	carA	enables	GO:0016874	ligase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0436	83334	UniProt		F
UniProtKB	P0A6F2	carA	enables	GO:0000166	nucleotide binding	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	83334	UniProt		F
UniProtKB	P0A6F2	carA	involved_in	GO:0008652	cellular amino acid biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0028	83334	UniProt		P
UniProtKB	P0A6F2	carA	involved_in	GO:0006541	glutamine metabolic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0315	83334	UniProt		P
UniProtKB	P0A6F2	carA	involved_in	GO:0006526	arginine biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0055	83334	UniProt		P
UniProtKB	P0A6F2	carA	involved_in	GO:0006221	pyrimidine nucleotide biosynthetic process	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0665	83334	UniProt		P
UniProtKB	P0A6F2	carA	enables	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	ECO:0000501	IEA	GO_REF:0000003	EC:6.3.5.5	83334	UniProt		F
UniProtKB	P0A6F2	carA	enables	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:18633	83334	RHEA		F
UniProtKB	P0A6F2	carA	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101158	83334	UniProt		F
