GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A144A2G5	PF3D7_1116700	involved_in	GO:0051603	proteolysis involved in cellular protein catabolic process	ECO:0000318	IBA	PMID:21873635	MGI:MGI:107341|MGI:MGI:107823|MGI:MGI:88561|MGI:MGI:88564|PANTHER:PTN000274640|UniProtKB:P07711|UniProtKB:P07858|UniProtKB:P25774|UniProtKB:P43235|WB:WBGene00000784	36329	GO_Central		P
UniProtKB	A0A144A2G5	PF3D7_1116700	is_active_in	GO:0005615	extracellular space	ECO:0000318	IBA	PMID:21873635	FB:FBgn0034229|FB:FBgn0034709|MGI:MGI:107823|MGI:MGI:88561|MGI:MGI:88564|PANTHER:PTN000274640|RGD:2447|RGD:61810|RGD:621509|RGD:708479|UniProtKB:P07711|UniProtKB:P07858|UniProtKB:P09668|UniProtKB:P25774|UniProtKB:P43235|UniProtKB:Q9TY95|UniProtKB:Q9UBR2|WB:WBGene00000776|WB:WBGene00000788	36329	GO_Central		C
UniProtKB	A0A144A2G5	PF3D7_1116700	is_active_in	GO:0005764	lysosome	ECO:0000318	IBA	PMID:21873635	FB:FBgn0013770|MGI:MGI:107341|MGI:MGI:107823|MGI:MGI:1860262|MGI:MGI:88561|MGI:MGI:88564|PANTHER:PTN000274640|RGD:2445|RGD:2447|RGD:2448|RGD:61810|RGD:621509|UniProtKB:P07711|UniProtKB:P07858|UniProtKB:P09668|UniProtKB:P25774|UniProtKB:P43235|UniProtKB:Q8I6U4|UniProtKB:Q8IIJ9|UniProtKB:Q9UBR2|WB:WBGene00000776|WB:WBGene00000786	36329	GO_Central		C
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0004197	cysteine-type endopeptidase activity	ECO:0000318	IBA	PMID:21873635	FB:FBgn0013770|FB:FBgn0030521|MGI:MGI:107285|MGI:MGI:107341|PANTHER:PTN000274640|RGD:2448|RGD:621509|TAIR:locus:2133402|TAIR:locus:2157712|TAIR:locus:2204873|TAIR:locus:505006093|UniProtKB:P07711|UniProtKB:P07858|UniProtKB:P09668|UniProtKB:P25774|UniProtKB:P43235|UniProtKB:Q8IIL0|WB:WBGene00000784	36329	GO_Central		F
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0008234	cysteine-type peptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000668	36329	InterPro		F
UniProtKB	A0A144A2G5	PF3D7_1116700	involved_in	GO:0006508	proteolysis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000668	36329	InterPro		P
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0008233	peptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	36329	UniProt		F
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0008234	cysteine-type peptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0788	36329	UniProt		F
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0004177	aminopeptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0031	36329	UniProt		F
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	36329	UniProt		F
UniProtKB	A0A144A2G5	PF3D7_1116700	involved_in	GO:0006508	proteolysis	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0645	36329	UniProt		P
UniProtKB	A0A144A2G5	PF3D7_1116700	enables	GO:0008239	dipeptidyl-peptidase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.4.14.1	36329	UniProt		F
UniProtKB	A0A144A2G5	PF3D7_1116700	located_in	GO:0005764	lysosome	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0158	36329	UniProt		C
UniProtKB	A0A144A2H0	PF3D7_1454400	enables	GO:0016787	hydrolase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000587	36329	InterPro		F
UniProtKB	A0A144A2H0	PF3D7_1454400	enables	GO:0070006	metalloaminopeptidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033740	36329	InterPro		F
UniProtKB	A0A144A2H0	PF3D7_1454400	enables	GO:0004177	aminopeptidase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0031	36329	UniProt		F
UniProtKB	A0A144A2H0	PF3D7_1454400	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	36329	UniProt		F
UniProtKB	A0A144A2H0	PF3D7_1454400	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	36329	UniProt		F
UniProtKB	A0A144A2H0	PF3D7_1454400	enables	GO:0004177	aminopeptidase activity	ECO:0000501	IEA	GO_REF:0000003	EC:3.4.11.9	36329	UniProt		F
UniProtKB	A0A144A2H0	PF3D7_1454400	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0004177	36329	GOC		P
UniProtKB	A0A144A2H0	PF3D7_1454400	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0004177	36329	GOC		P
UniProtKB	A0A144A2H0	PF3D7_1454400	involved_in	GO:0006508	proteolysis	ECO:0000366	IEA	GO_REF:0000108	GO:0070006	36329	GOC		P
UniProtKB	A0A144A4E0	PF3D7_1457200	involved_in	GO:0006662	glycerol ether metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005746	36329	InterPro		P
UniProtKB	A0A144A4E0	PF3D7_1457200	enables	GO:0015035	protein-disulfide reductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005746	36329	InterPro		F
UniProtKB	A0A5K1K9B3	PF3D7_1361700	enables	GO:0005507	copper ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002429	36329	InterPro		F
UniProtKB	A0A5K1K9B3	PF3D7_1361700	enables	GO:0004129	cytochrome-c oxidase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002429	36329	InterPro		F
UniProtKB	A0A5K1K9B3	PF3D7_1361700	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002429	36329	InterPro		C
UniProtKB	A0A5K1K9B3	PF3D7_1361700	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	36329	UniProt		F
UniProtKB	A0A5K1K9B3	PF3D7_1361700	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	36329	UniProt		C
UniProtKB	A0A5K1K9B3	PF3D7_1361700	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	36329	UniProt		C
UniProtKB	A0A5K1K9B3	PF3D7_1361700	enables	GO:0004129	cytochrome-c oxidase activity	ECO:0000501	IEA	GO_REF:0000003	EC:7.1.1.9	36329	UniProt		F
UniProtKB	A0A5K1K9B3	PF3D7_1361700	enables	GO:0004129	cytochrome-c oxidase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:11436	36329	RHEA		F
UniProtKB	A0A5K1K9B3	PF3D7_1361700	involved_in	GO:0022900	electron transport chain	ECO:0000366	IEA	GO_REF:0000108	GO:0004129	36329	GOC		P
UniProtKB	A0A5K1K9B3	PF3D7_1361700	involved_in	GO:0022900	electron transport chain	ECO:0000366	IEA	GO_REF:0000108	GO:0004129	36329	GOC		P
UniProtKB	A0A5K1K9B3	PF3D7_1361700	involved_in	GO:0022900	electron transport chain	ECO:0000366	IEA	GO_REF:0000108	GO:0004129	36329	GOC		P
