GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q17ZY2	prdE	enables	GO:0050485	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015417	272563	InterPro		F
UniProtKB	Q17ZY2	prdE	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	272563	UniProt		F
UniProtKB	Q17ZY2	prdE	enables	GO:0050002	D-proline reductase (dithiol) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.21.4.1	272563	UniProt		F
UniProtKB	Q17ZY4	CD630_32370	enables	GO:0016853	isomerase activity	ECO:0000322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0413	272563	UniProt		F
UniProtKB	Q17ZY4	CD630_32370	enables	GO:0018112	proline racemase activity	ECO:0000501	IEA	GO_REF:0000003	EC:5.1.1.4	272563	UniProt		F
UniProtKB	Q17ZY4	CD630_32370	enables	GO:0018112	proline racemase activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:10680	272563	RHEA		F
UniProtKB	Q17ZY6	prdB	enables	GO:0050002	D-proline reductase (dithiol) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR022787	272563	InterPro		F
UniProtKB	Q17ZY6	prdB	enables	GO:0050485	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010187	272563	InterPro		F
UniProtKB	Q17ZY6	prdB	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	272563	UniProt		F
UniProtKB	Q17ZY6	prdB	enables	GO:0050002	D-proline reductase (dithiol) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.21.4.1	272563	UniProt		F
UniProtKB	Q17ZY7	prdD	enables	GO:0050485	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015417	272563	InterPro		F
UniProtKB	Q17ZY7	prdD	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	272563	UniProt		F
UniProtKB	Q17ZY7	prdD	enables	GO:0050002	D-proline reductase (dithiol) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.21.4.1	272563	UniProt		F
UniProtKB	Q17ZY9	prdA	enables	GO:0050002	D-proline reductase (dithiol) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR031002	272563	InterPro		F
UniProtKB	Q17ZY9	prdA	enables	GO:0050485	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015417	272563	InterPro		F
UniProtKB	Q17ZY9	prdA	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	272563	UniProt		F
UniProtKB	Q17ZY9	prdA	enables	GO:0050002	D-proline reductase (dithiol) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.21.4.1	272563	UniProt		F
UniProtKB	Q180G2	fdhF	involved_in	GO:0015942	formate metabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006478	272563	InterPro		P
UniProtKB	Q180G2	fdhF	enables	GO:0008863	formate dehydrogenase (NAD+) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006478	272563	InterPro		F
UniProtKB	Q180G2	fdhF	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006655|InterPro:IPR006656|InterPro:IPR006657|InterPro:IPR006963	272563	InterPro		F
UniProtKB	Q180G2	fdhF	enables	GO:0043546	molybdopterin cofactor binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006657	272563	InterPro		F
UniProtKB	Q180G2	fdhF	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	272563	UniProt		F
UniProtKB	Q180G2	fdhF	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	272563	UniProt		F
UniProtKB	Q180G2	fdhF	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0411	272563	UniProt		F
UniProtKB	Q180G2	fdhF	part_of	GO:0009326	formate dehydrogenase complex	ECO:0000501	IEA	GO_REF:0000003	EC:1.17.1.9	272563	UniProt		C
UniProtKB	Q180G2	fdhF	enables	GO:0008863	formate dehydrogenase (NAD+) activity	ECO:0000501	IEA	GO_REF:0000003	EC:1.17.1.9	272563	UniProt		F
UniProtKB	Q180G2	fdhF	enables	GO:0008863	formate dehydrogenase (NAD+) activity	ECO:0000256	IEA	GO_REF:0000116	RHEA:15985	272563	RHEA		F
UniProtKB	Q180Q3	CD630_34050	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002023	272563	InterPro		F
UniProtKB	Q180Q3	CD630_34050	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	272563	UniProt		F
UniProtKB	Q180Q3	CD630_34050	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	272563	UniProt		F
UniProtKB	Q180Q3	CD630_34050	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0411	272563	UniProt		F
UniProtKB	Q180Q3	CD630_34050	enables	GO:0051537	2 iron, 2 sulfur cluster binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0001	272563	UniProt		F
UniProtKB	Q180Q4	CD630_34060	enables	GO:0008137	NADH dehydrogenase (ubiquinone) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001949	272563	InterPro		F
